,SNO,NAME OF COMPANY,SYMBOL
583,583,H.G. Infra Engineering Limited,HGINFRA
584,584,Hinduja Global Solutions Limited,HGS
585,585,Hikal Limited,HIKAL
586,586,HIL Limited,HIL
587,587,Hilton Metal Forging Limited,HILTON
588,588,Himatsingka Seide Limited,HIMATSEIDE
589,589,Hindalco Industries Limited,HINDALCO
590,590,Hindustan Composites Limited,HINDCOMPOS
591,591,Hindustan Copper Limited,HINDCOPPER
592,592,Hindustan Motors Limited,HINDMOTORS
593,593,Hindusthan National Glass & Industries Limited,HINDNATGLS
594,594,Hindustan Oil Exploration Company Limited,HINDOILEXP
595,595,Hindustan Petroleum Corporation Limited,HINDPETRO
